from_type,to_type,transitions,pct
CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,8,4.44
CRIMINAL SEXUAL ASSAULT,MOTOR VEHICLE THEFT,8,4.44
CRIMINAL SEXUAL ASSAULT,NARCOTICS,6,3.33
CRIMINAL SEXUAL ASSAULT,OTHER OFFENSE,5,2.78
CRIMINAL SEXUAL ASSAULT,WEAPONS VIOLATION,4,2.22
CRIMINAL SEXUAL ASSAULT,DECEPTIVE PRACTICE,4,2.22
CRIMINAL SEXUAL ASSAULT,SEX OFFENSE,3,1.67
CRIMINAL SEXUAL ASSAULT,BURGLARY,3,1.67
CRIMINAL SEXUAL ASSAULT,PUBLIC PEACE VIOLATION,2,1.11
CRIMINAL SEXUAL ASSAULT,OFFENSE INVOLVING CHILDREN,2,1.11
CRIMINAL SEXUAL ASSAULT,KIDNAPPING,1,0.56
CRIMINAL SEXUAL ASSAULT,ROBBERY,1,0.56
CRIMINAL SEXUAL ASSAULT,INTERFERENCE WITH PUBLIC OFFICER,1,0.56
CRIMINAL TRESPASS,THEFT,216,27.17
CRIMINAL TRESPASS,BATTERY,129,16.23
CRIMINAL TRESPASS,CRIMINAL TRESPASS,88,11.07
CRIMINAL TRESPASS,ASSAULT,65,8.18
CRIMINAL TRESPASS,CRIMINAL DAMAGE,58,7.3
CRIMINAL TRESPASS,MOTOR VEHICLE THEFT,47,5.91
CRIMINAL TRESPASS,DECEPTIVE PRACTICE,40,5.03
CRIMINAL TRESPASS,OTHER OFFENSE,38,4.78
CRIMINAL TRESPASS,BURGLARY,28,3.52
CRIMINAL TRESPASS,NARCOTICS,19,2.39
CRIMINAL TRESPASS,ROBBERY,16,2.01
CRIMINAL TRESPASS,WEAPONS VIOLATION,15,1.89
CRIMINAL TRESPASS,PUBLIC PEACE VIOLATION,7,0.88
CRIMINAL TRESPASS,SEX OFFENSE,6,0.75
CRIMINAL TRESPASS,OFFENSE INVOLVING CHILDREN,6,0.75
CRIMINAL TRESPASS,ARSON,5,0.63
CRIMINAL TRESPASS,INTERFERENCE WITH PUBLIC OFFICER,3,0.38
CRIMINAL TRESPASS,STALKING,3,0.38
CRIMINAL TRESPASS,CRIMINAL SEXUAL ASSAULT,2,0.25
CRIMINAL TRESPASS,CONCEALED CARRY LICENSE VIOLATION,2,0.25
CRIMINAL TRESPASS,PROSTITUTION,1,0.13
CRIMINAL TRESPASS,INTIMIDATION,1,0.13
DECEPTIVE PRACTICE,THEFT,344,27.24
DECEPTIVE PRACTICE,BATTERY,201,15.91
DECEPTIVE PRACTICE,DECEPTIVE PRACTICE,186,14.73
DECEPTIVE PRACTICE,CRIMINAL DAMAGE,115,9.11
DECEPTIVE PRACTICE,ASSAULT,95,7.52
DECEPTIVE PRACTICE,MOTOR VEHICLE THEFT,76,6.02
DECEPTIVE PRACTICE,OTHER OFFENSE,59,4.67
DECEPTIVE PRACTICE,BURGLARY,49,3.88
DECEPTIVE PRACTICE,CRIMINAL TRESPASS,38,3.01
DECEPTIVE PRACTICE,NARCOTICS,27,2.14
DECEPTIVE PRACTICE,ROBBERY,26,2.06
DECEPTIVE PRACTICE,WEAPONS VIOLATION,16,1.27
DECEPTIVE PRACTICE,PUBLIC PEACE VIOLATION,6,0.48
DECEPTIVE PRACTICE,CRIMINAL SEXUAL ASSAULT,6,0.48
